Date,Open,High,Low,Close,Adj Close,Volume
2016-02-29,55.299999,58.650002,54.810001,58.290001,53.590767,39065500
2016-03-07,58.000000,60.000000,57.630001,59.459999,54.666443,40720800
2016-03-14,59.509998,61.450001,58.630001,61.220001,56.284557,25969000
2016-03-21,60.990002,61.380001,59.599998,60.470001,55.595020,15603800
2016-03-28,60.770000,61.660000,59.459999,61.099998,56.174232,23053100
2016-04-04,61.009998,61.060001,58.700001,59.500000,54.703217,20773500
2016-04-11,59.669998,62.840000,59.279999,62.139999,57.406971,21497000
2016-04-18,61.810001,67.339996,61.730000,65.930000,60.908306,31850200
2016-04-25,65.639999,66.669998,64.849998,65.430000,60.446388,21570000
2016-05-02,65.580002,66.050003,63.450001,64.510002,59.596474,21778300
2016-05-09,64.230003,65.360001,63.770000,64.120003,59.236164,21394700
2016-05-16,64.019997,64.300003,62.320000,63.919998,59.051392,28039100
2016-05-23,63.860001,65.760002,63.560001,65.519997,60.529522,20326700
2016-05-30,65.699997,66.410004,64.769997,65.489998,60.501801,16476200
2016-06-06,65.550003,66.599998,64.709999,64.970001,60.021423,18118700
2016-06-13,64.800003,64.889999,60.380001,61.860001,57.148304,36251600
2016-06-20,62.650002,63.410000,60.000000,60.060001,55.485397,25535800
2016-06-27,59.340000,61.520000,57.150002,60.689999,56.067421,34844900
2016-07-04,60.220001,61.599998,58.250000,61.490002,57.092442,21242000
2016-07-11,61.950001,64.110001,61.860001,63.779999,59.218658,19926700
2016-07-18,63.959999,64.800003,62.880001,64.279999,59.682907,28978300
2016-07-25,64.199997,64.970001,63.980000,64.459999,59.850033,15751400
2016-08-01,64.489998,65.709999,63.200001,65.519997,60.834217,17023200
2016-08-08,65.830002,66.250000,64.580002,65.379997,60.704231,14392200
2016-08-15,65.269997,65.849998,65.070000,65.529999,60.843517,14587500
2016-08-22,65.529999,66.279999,64.519997,64.790001,60.156437,18778000
2016-08-29,65.000000,65.970001,64.419998,65.190002,60.527824,19522600
2016-09-05,65.160004,66.709999,65.050003,65.120003,60.462837,16380900
2016-09-12,64.720001,66.089996,63.160000,63.660000,59.107243,31056900
2016-09-19,63.959999,65.080002,63.669998,63.849998,59.283661,18463100
2016-09-26,63.439999,64.809998,62.849998,64.040001,59.460075,22882500
2016-10-03,63.830002,64.529999,61.480000,61.759998,57.343132,22017700
2016-10-10,62.150002,62.490002,59.500000,60.150002,56.129318,18927500
2016-10-17,60.270000,67.779999,59.779999,67.360001,62.857365,49640900
2016-10-24,67.690002,67.930000,66.139999,66.449997,62.008186,22423900
2016-10-31,66.809998,66.830002,65.029999,65.510002,61.131042,17880400
2016-11-07,66.849998,70.589996,66.309998,70.500000,65.787468,31362000
2016-11-14,70.800003,72.680000,70.629997,71.000000,66.254044,26407000
2016-11-21,71.309998,73.180000,70.870003,72.860001,67.989723,14016200
2016-11-28,72.529999,72.769997,71.389999,71.860001,67.056557,20352300
2016-12-05,72.330002,75.199997,71.989998,74.769997,69.772041,19557200
2016-12-12,74.699997,75.739998,73.110001,75.000000,69.986679,24225800
2016-12-19,74.680000,75.570000,74.139999,74.970001,69.958679,14388700
2016-12-26,75.099998,75.379997,73.500000,74.080002,69.128197,10519200
2017-01-02,74.889999,76.550003,74.739998,75.470001,70.425247,16962300
2017-01-09,76.139999,78.000000,75.529999,76.620003,71.803329,26391300
2017-01-16,77.400002,77.779999,75.389999,76.199997,71.409721,29016000
2017-01-23,75.919998,78.019997,75.730003,76.849998,72.018883,20622700
2017-01-30,76.830002,78.419998,75.970001,78.040001,73.134064,23720700
2017-02-06,77.720001,78.690002,77.080002,78.480003,73.546394,12735800
2017-02-13,78.820000,80.099998,78.480003,79.709999,74.699066,19517700
